index,name,ext,folder,rde_name,rde_folder
87,sneff,,menu_chr_panel,p37.tim,work\cdrom\menu\playtim
88,steena,,menu_chr_panel,p38.tim,work\cdrom\menu\playtim
89,doc,,menu_chr_panel,p39.tim,work\cdrom\menu\playtim
90,grobyc,,menu_chr_panel,p40.tim,work\cdrom\menu\playtim
91,pierre,,menu_chr_panel,p41.tim,work\cdrom\menu\playtim
92,orlha,,menu_chr_panel,p42.tim,work\cdrom\menu\playtim
93,pip,,menu_chr_panel,p43.tim,work\cdrom\menu\playtim
94,pip,,menu_chr_panel,p44.tim,work\cdrom\menu\playtim
95,pip,,menu_chr_panel,p45.tim,work\cdrom\menu\playtim
96,pip,,menu_chr_panel,p46.tim,work\cdrom\menu\playtim
97,pip,,menu_chr_panel,p47.tim,work\cdrom\menu\playtim
98,pip,,menu_chr_panel,p48.tim,work\cdrom\menu\playtim
99,lynx,,menu_chr_panel,p49.tim,work\cdrom\menu\playtim
100,,,menu_chr_panel,,
101,serge,,menu_chr_info,selju.ome,work\cdrom\menu\player
102,kid,,menu_chr_info,kid.ome,work\cdrom\menu\player
103,guile,,menu_chr_info,guill.ome,work\cdrom\menu\player
104,norris,,menu_chr_info,ishito.ome,work\cdrom\menu\player
105,nikki,,menu_chr_info,slash.ome,work\cdrom\menu\player
106,viper,,menu_chr_info,jakotu.ome,work\cdrom\menu\player
107,riddel,,menu_chr_info,riddle.ome,work\cdrom\menu\player
108,karsh,,menu_chr_info,carshu.ome,work\cdrom\menu\player
109,zoah,,menu_chr_info,zoah.ome,work\cdrom\menu\player
110,marcy,,menu_chr_info,malchera.ome,work\cdrom\menu\player
111,korcha,,menu_chr_info,colcha.ome,work\cdrom\menu\player
112,luccia,,menu_chr_info,lutianna.ome,work\cdrom\menu\player
113,poshul,,menu_chr_info,poshul.ome,work\cdrom\menu\player
114,razzly,,menu_chr_info,lazzuly.ome,work\cdrom\menu\player
115,zappa,,menu_chr_info,zappa.ome,work\cdrom\menu\player
116,orcha,,menu_chr_info,ocha.ome,work\cdrom\menu\player
117,radius,,menu_chr_info,radius.ome,work\cdrom\menu\player
118,fargo,,menu_chr_info,farga.ome,work\cdrom\menu\player
119,macha,,menu_chr_info,obachan.ome,work\cdrom\menu\player
120,glenn,,menu_chr_info,gren1.ome,work\cdrom\menu\player
121,leena,,menu_chr_info,lena.ome,work\cdrom\menu\player
122,miki,,menu_chr_info,miki.ome,work\cdrom\menu\player
123,harle,,menu_chr_info,harley.ome,work\cdrom\menu\player
124,janice,,menu_chr_info,jyaness.ome,work\cdrom\menu\player
125,draggy,,menu_chr_info,dragon.ome,work\cdrom\menu\player
126,starky,,menu_chr_info,hosi.ome,work\cdrom\menu\player
127,spirgg,,menu_chr_info,spri.ome,work\cdrom\menu\player
128,mojo,,menu_chr_info,dan.ome,work\cdrom\menu\player
129,turnip,,menu_chr_info,kabuo.ome,work\cdrom\menu\player
130,neofio,,menu_chr_info,rablue.ome,work\cdrom\menu\player
131,greco,,menu_chr_info,jilbelt.ome,work\cdrom\menu\player
132,skelly,,menu_chr_info,hone.ome,work\cdrom\menu\player
133,funguy,,menu_chr_info,kinoko.ome,work\cdrom\menu\player
134,irenes,,menu_chr_info,ilenes.ome,work\cdrom\menu\player
135,mel,,menu_chr_info,mell.ome,work\cdrom\menu\player
136,leah,,menu_chr_info,liia.ome,work\cdrom\menu\player
137,van,,menu_chr_info,banc.ome,work\cdrom\menu\player
138,sneff,,menu_chr_info,sunef.ome,work\cdrom\menu\player
139,steena,,menu_chr_info,steena.ome,work\cdrom\menu\player
140,doc,,menu_chr_info,doc.ome,work\cdrom\menu\player
141,grobyc,,menu_chr_info,gyada.ome,work\cdrom\menu\player
142,pierre,,menu_chr_info,pierre.ome,work\cdrom\menu\player
143,orlha,,menu_chr_info,olha.ome,work\cdrom\menu\player
144,pip,,menu_chr_info,tumaru.ome,work\cdrom\menu\player
145,pip,,menu_chr_info,tu_p.ome,work\cdrom\menu\player
146,pip,,menu_chr_info,tu_m.ome,work\cdrom\menu\player
147,pip,,menu_chr_info,tu_pp.ome,work\cdrom\menu\player
148,pip,,menu_chr_info,tu_pm.ome,work\cdrom\menu\player
149,pip,,menu_chr_info,tu_mm.ome,work\cdrom\menu\player
150,lynx,,menu_chr_info,sel_yama.ome,work\cdrom\menu\player
151,glenn2,,menu_chr_info,gren2.ome,work\cdrom\menu\player
152,,,menu_chr_info,,
153,Tele-Porter,,menu_key_item_icon,tele.tim,work\cdrom\menu\keyitem
154,Shark Tooth,,menu_key_item_icon,shark.tim,work\cdrom\menu\keyitem
155,Astral Amulet,,menu_key_item_icon,kid.tim,work\cdrom\menu\keyitem
156,Green Tinkler,,menu_key_item_icon,suzu.tim,work\cdrom\menu\keyitem
157,Beeba Flute,,menu_key_item_icon,musibue.tim,work\cdrom\menu\keyitem
158,Einlanzer,,menu_key_item_icon,ilurans.tim,work\cdrom\menu\keyitem
159,Ice Gun,,menu_key_item_icon,icegun.tim,work\cdrom\menu\keyitem
160,Ice Breath,,menu_key_item_icon,ice.tim,work\cdrom\menu\keyitem
161,Heckran Bone,,menu_key_item_icon,hekeran.tim,work\cdrom\menu\keyitem
162,Bellflower,,menu_key_item_icon,rindo.tim,work\cdrom\menu\keyitem
163,Big Egg,,menu_key_item_icon,egg.tim,work\cdrom\menu\keyitem
164,Heavy Skull,,menu_key_item_icon,gaikotu.tim,work\cdrom\menu\keyitem
165,Good Backbone,,menu_key_item_icon,sebone.tim,work\cdrom\menu\keyitem
166,Sturdy Ribs,,menu_key_item_icon,rokkotu.tim,work\cdrom\menu\keyitem
167,Pelvic Bone,,menu_key_item_icon,kotuban.tim,work\cdrom\menu\keyitem
168,Angry Scapula,,menu_key_item_icon,kenko.tim,work\cdrom\menu\keyitem
169,Mixed Bones,,menu_key_item_icon,hone.tim,work\cdrom\menu\keyitem
170,Aroma Pouch,,menu_key_item_icon,kaori.tim,work\cdrom\menu\keyitem
171,Mushroom,,menu_key_item_icon,kinoko.tim,work\cdrom\menu\keyitem
172,Manor Key,,menu_key_item_icon,jakotu.tim,work\cdrom\menu\keyitem
173,Hydra Humour,,menu_key_item_icon,hidora.tim,work\cdrom\menu\keyitem
174,Parlor Key,,menu_key_item_icon,kyakuma.tim,work\cdrom\menu\keyitem
175,Prison Key,,menu_key_item_icon,chikaro.tim,work\cdrom\menu\keyitem
176,Dragon Tear,,menu_key_item_icon,ryu.tim,work\cdrom\menu\keyitem
177,White Relic,,menu_key_item_icon,white.tim,work\cdrom\menu\keyitem
178,Black Relic,,menu_key_item_icon,black.tim,work\cdrom\menu\keyitem
179,Red Relic,,menu_key_item_icon,red.tim,work\cdrom\menu\keyitem
180,Blue Relic,,menu_key_item_icon,blue.tim,work\cdrom\menu\keyitem
181,Yellow Relic,,menu_key_item_icon,yellow.tim,work\cdrom\menu\keyitem
182,Green Relic,,menu_key_item_icon,green.tim,work\cdrom\menu\keyitem
183,Life Sparkle,,menu_key_item_icon,seimei.tim,work\cdrom\menu\keyitem
184,Komodo Scale,,menu_key_item_icon,uroko.tim,work\cdrom\menu\keyitem
185,Star Fragment,,menu_key_item_icon,hoshi.tim,work\cdrom\menu\keyitem
186,Card Key,,menu_key_item_icon,cardkey.tim,work\cdrom\menu\keyitem
187,Explosive,,menu_key_item_icon,bomb.tim,work\cdrom\menu\keyitem
188,Tear of Hate,,menu_key_item_icon,ryu2.tim,work\cdrom\menu\keyitem
189,Tear of Love,,menu_key_item_icon,ryu3.tim,work\cdrom\menu\keyitem
190,Station Pass,,menu_key_item_icon,pass.tim,work\cdrom\menu\keyitem
191,Ancient Fruit,,menu_key_item_icon,kajitu.tim,work\cdrom\menu\keyitem
192,Memento Pendant,,menu_key_item_icon,katami.tim,work\cdrom\menu\keyitem
193,Handle,,menu_key_item_icon,hundle.tim,work\cdrom\menu\keyitem
194,Garai Keepsake,,menu_key_item_icon,mirror.tim,work\cdrom\menu\keyitem
195,Decor Shield,,menu_key_item_icon,tate.tim,work\cdrom\menu\keyitem
196,Fiddler Crab,,menu_key_item_icon,sio.tim,work\cdrom\menu\keyitem
197,Chrono Cross,,menu_key_item_icon,chrono.tim,work\cdrom\menu\keyitem
198,Safety Gear,,menu_key_item_icon,soubi.tim,work\cdrom\menu\keyitem
199,Saphire Brooch,,menu_key_item_icon,broti.tim,work\cdrom\menu\keyitem
200,Prop Sword,,menu_key_item_icon,gekijo.tim,work\cdrom\menu\keyitem
201,Dragon Emblem,,menu_key_item_icon,monsho.tim,work\cdrom\menu\keyitem
202,Book of Poems,,menu_key_item_icon,book.tim,work\cdrom\menu\keyitem
203,Medical Book,,menu_key_item_icon,igaku.tim,work\cdrom\menu\keyitem
204,Heros Medal,,menu_key_item_icon,badge.tim,work\cdrom\menu\keyitem
205,Time Egg,,menu_key_item_icon,tokiegg.tim,work\cdrom\menu\keyitem
206,,,menu_key_item_icon,dummy.dat,work\cdrom\dummy
207,,,menu_key_item_icon,dummy.dat,work\cdrom\dummy
208,,,menu_key_item_icon,dummy.dat,work\cdrom\dummy
209,,,menu_key_item_icon,dummy.dat,work\cdrom\dummy
210,,,menu_key_item_icon,dummy.dat,work\cdrom\dummy
211,,,menu_key_item_icon,dummy.dat,work\cdrom\dummy
212,,,menu_key_item_icon,dummy.dat,work\cdrom\dummy
213,Relief Charm,,menu_key_item_icon,gofu.tim,work\cdrom\menu\keyitem
214,Time Shifter,,menu_key_item_icon,time.tim,work\cdrom\menu\keyitem
215,Smith Spirit,,menu_key_item_icon,kajiya.tim,work\cdrom\menu\keyitem
216,Komodo Scale Duplicate,,menu_key_item_icon,uroko.tim,work\cdrom\menu\keyitem
217,,,menu_key_item_icon,,
218,rare_object_descriptions,,menu_ui,keyitem.dat,work\cdrom\menu
219,,,menu_ui,,
220,,,menu_ui,,
221,,,menu_ui,,
222,title_screen_bottom,,menu_ui,bg0.tim,work\cdrom\menu\title
223,title_screen_top,,menu_ui,bg1.tim,work\cdrom\menu\title
224,title_screen_ui,,menu_ui,openfont.tim,work\cdrom\map\etc
225,pause_menu,,menu_ui,title.prd,work\cdrom\menu
226,element_shop,,menu_ui,shopmenu.prg,work\cdrom\prog
227,,,menu_ui,el_shop.bin,work\cdrom\menu
228,,,menu_ui,waa_shop.bin,work\cdrom\menu
229,,,menu_ui,waa_tbl.bin,work\cdrom\menu
230,status_effects,,menu_ui,stef.prd,work\cdrom\menu
231,,,menu_ui,trade.bin,work\cdrom\menu
232,shop_chr_icon,,menu_ui,smithy.prd,work\cdrom\menu
233,new_game_plus_title_screen_ui,,menu_ui,cmptitle.tim,work\cdrom\menu\title
234,misc_icons,,menu_ui,,
235,,,menu_ui,,
236,,,menu_ui,,
237,,,menu_ui,,
238,,,menu_ui,,
239,serge,,field_main_chr,selju.obj,work\cdrom\fieldobj\player\selju
240,serge,,field_main_chr,selju.tim,work\cdrom\fieldobj\player\selju
241,kid,,field_main_chr,kid.obj,work\cdrom\fieldobj\player\kid
242,kid,,field_main_chr,kid.tim,work\cdrom\fieldobj\player\kid
243,guile,,field_main_chr,guill.obj,work\cdrom\fieldobj\player\guill
244,guile,,field_main_chr,guill.tim,work\cdrom\fieldobj\player\guill
245,norris,,field_main_chr,ishito.obj,work\cdrom\fieldobj\player\ishito
246,norris,,field_main_chr,ishito.tim,work\cdrom\fieldobj\player\ishito
247,nikki,,field_main_chr,slash.obj,work\cdrom\fieldobj\player\slash
248,nikki,,field_main_chr,slash.tim,work\cdrom\fieldobj\player\slash
249,viper,,field_main_chr,jakotu.obj,work\cdrom\fieldobj\player\jakotu
250,viper,,field_main_chr,jakotu.tim,work\cdrom\fieldobj\player\jakotu
251,riddel,,field_main_chr,riddle.obj,work\cdrom\fieldobj\player\riddle
252,riddel,,field_main_chr,riddle.tim,work\cdrom\fieldobj\player\riddle
253,karsh,,field_main_chr,carshu.obj,work\cdrom\fieldobj\player\carshu
254,karsh,,field_main_chr,carshu.tim,work\cdrom\fieldobj\player\carshu
255,zoah,,field_main_chr,zoah.obj,work\cdrom\fieldobj\player\zoah
256,zoah,,field_main_chr,zoah.tim,work\cdrom\fieldobj\player\zoah
257,marcy,,field_main_chr,malchera.obj,work\cdrom\fieldobj\player\malchera
258,marcy,,field_main_chr,malchera.tim,work\cdrom\fieldobj\player\malchera
259,korcha,,field_main_chr,colcha.obj,work\cdrom\fieldobj\player\colcha
260,korcha,,field_main_chr,colcha.tim,work\cdrom\fieldobj\player\colcha
261,luccia,,field_main_chr,lutianna.obj,work\cdrom\fieldobj\player\lutianna
262,luccia,,field_main_chr,lutianna.tim,work\cdrom\fieldobj\player\lutianna
263,poshul,,field_main_chr,poshul.obj,work\cdrom\fieldobj\player\poshul
264,poshul,,field_main_chr,poshul.tim,work\cdrom\fieldobj\player\poshul
265,razzly,,field_main_chr,lazzuly.obj,work\cdrom\fieldobj\player\lazzuly
266,razzly,,field_main_chr,lazzuly.tim,work\cdrom\fieldobj\player\lazzuly
267,zappa,,field_main_chr,zappa.obj,work\cdrom\fieldobj\player\zappa
268,zappa,,field_main_chr,zappa.tim,work\cdrom\fieldobj\player\zappa
269,orcha,,field_main_chr,ocha.obj,work\cdrom\fieldobj\player\ocha
270,orcha,,field_main_chr,ocha.tim,work\cdrom\fieldobj\player\ocha
271,radius,,field_main_chr,radius.obj,work\cdrom\fieldobj\player\radius
272,radius,,field_main_chr,radius.tim,work\cdrom\fieldobj\player\radius
273,fargo,,field_main_chr,farga.obj,work\cdrom\fieldobj\player\farga
274,fargo,,field_main_chr,farga.tim,work\cdrom\fieldobj\player\farga
275,macha,,field_main_chr,mamacha.obj,work\cdrom\fieldobj\player\mamacha
276,macha,,field_main_chr,mamacha.tim,work\cdrom\fieldobj\player\mamacha
277,glenn,,field_main_chr,gren.obj,work\cdrom\fieldobj\player\gren
278,glenn,,field_main_chr,gren.tim,work\cdrom\fieldobj\player\gren
279,leena,,field_main_chr,lena.obj,work\cdrom\fieldobj\player\lena
280,leena,,field_main_chr,lena.tim,work\cdrom\fieldobj\player\lena
281,miki,,field_main_chr,miki.obj,work\cdrom\fieldobj\player\miki
282,miki,,field_main_chr,miki.tim,work\cdrom\fieldobj\player\miki
283,harle,,field_main_chr,harley.obj,work\cdrom\fieldobj\player\harley
284,harle,,field_main_chr,harley.tim,work\cdrom\fieldobj\player\harley
285,janice,,field_main_chr,jyaness.obj,work\cdrom\fieldobj\player\jyaness
286,janice,,field_main_chr,jyaness.tim,work\cdrom\fieldobj\player\jyaness
287,draggy,,field_main_chr,dragon.obj,work\cdrom\fieldobj\player\dragon
288,draggy,,field_main_chr,dragon.tim,work\cdrom\fieldobj\player\dragon
289,starky,,field_main_chr,hosi.obj,work\cdrom\fieldobj\player\hosi
290,starky,,field_main_chr,hosi.tim,work\cdrom\fieldobj\player\hosi
291,spirgg,,field_main_chr,spri.obj,work\cdrom\fieldobj\player\spri
292,spirgg,,field_main_chr,spri.tim,work\cdrom\fieldobj\player\spri
293,mojo,,field_main_chr,dan.obj,work\cdrom\fieldobj\player\dan
294,mojo,,field_main_chr,dan.tim,work\cdrom\fieldobj\player\dan
295,turnip,,field_main_chr,kabuo.obj,work\cdrom\fieldobj\player\kabuo
296,turnip,,field_main_chr,kabuo.tim,work\cdrom\fieldobj\player\kabuo
297,neofio,,field_main_chr,rablue.obj,work\cdrom\fieldobj\player\rablue
298,neofio,,field_main_chr,rablue.tim,work\cdrom\fieldobj\player\rablue
299,greco,,field_main_chr,jilbelt.obj,work\cdrom\fieldobj\player\jilbelt
300,greco,,field_main_chr,jilbelt.tim,work\cdrom\fieldobj\player\jilbelt
301,skelly,,field_main_chr,hone.obj,work\cdrom\fieldobj\player\hone
302,skelly,,field_main_chr,hone.tim,work\cdrom\fieldobj\player\hone
303,funguy,,field_main_chr,kinoko.obj,work\cdrom\fieldobj\player\kinoko
304,funguy,,field_main_chr,kinoko.tim,work\cdrom\fieldobj\player\kinoko
305,irenes,,field_main_chr,ilenes.obj,work\cdrom\fieldobj\player\ilenes
306,irenes,,field_main_chr,ilenes.tim,work\cdrom\fieldobj\player\ilenes
307,mel,,field_main_chr,mell.obj,work\cdrom\fieldobj\player\mell
308,mel,,field_main_chr,mell.tim,work\cdrom\fieldobj\player\mell
309,leah,,field_main_chr,liia.obj,work\cdrom\fieldobj\player\liia
310,leah,,field_main_chr,liia.tim,work\cdrom\fieldobj\player\liia
311,van,,field_main_chr,banc.obj,work\cdrom\fieldobj\player\banc
312,van,,field_main_chr,banc.tim,work\cdrom\fieldobj\player\banc
313,sneff,,field_main_chr,sunef.obj,work\cdrom\fieldobj\player\sunef
314,sneff,,field_main_chr,sunef.tim,work\cdrom\fieldobj\player\sunef
315,steena,,field_main_chr,steena.obj,work\cdrom\fieldobj\player\steena
316,steena,,field_main_chr,steena.tim,work\cdrom\fieldobj\player\steena
317,doc,,field_main_chr,doc.obj,work\cdrom\fieldobj\player\doc
318,doc,,field_main_chr,doc.tim,work\cdrom\fieldobj\player\doc
319,grobyc,,field_main_chr,gyada.obj,work\cdrom\fieldobj\player\gyada
320,grobyc,,field_main_chr,gyada.tim,work\cdrom\fieldobj\player\gyada
321,pierre,,field_main_chr,pierre.obj,work\cdrom\fieldobj\player\pierre
322,pierre,,field_main_chr,pierre.tim,work\cdrom\fieldobj\player\pierre
323,orlha,,field_main_chr,olha.obj,work\cdrom\fieldobj\player\olha
324,orlha,,field_main_chr,olha.tim,work\cdrom\fieldobj\player\olha
325,pip,,field_main_chr,tumaru.obj,work\cdrom\fieldobj\player\tumaru
326,pip,,field_main_chr,tumaru.tim,work\cdrom\fieldobj\player\tumaru
327,pip,,field_main_chr,tu_p.obj,work\cdrom\fieldobj\player\tu_p
328,pip,,field_main_chr,tu_p.tim,work\cdrom\fieldobj\player\tu_p
329,pip,,field_main_chr,tu_m.obj,work\cdrom\fieldobj\player\tu_m
330,pip,,field_main_chr,tu_m.tim,work\cdrom\fieldobj\player\tu_m
331,pip,,field_main_chr,tu_pp.obj,work\cdrom\fieldobj\player\tu_pp
332,pip,,field_main_chr,tu_pp.tim,work\cdrom\fieldobj\player\tu_pp
333,pip,,field_main_chr,tu_pm.obj,work\cdrom\fieldobj\player\tu_pm
334,pip,,field_main_chr,tu_pm.tim,work\cdrom\fieldobj\player\tu_pm
335,pip,,field_main_chr,tu_mm.obj,work\cdrom\fieldobj\player\tu_mm
336,pip,,field_main_chr,tu_mm.tim,work\cdrom\fieldobj\player\tu_mm
337,lynx,,field_main_chr,yamaneko.obj,work\cdrom\fieldobj\player\yamaneko
338,lynx,,field_main_chr,yamaneko.tim,work\cdrom\fieldobj\player\yamaneko
339,glenn_dup,,field_main_chr,gren2.obj,work\cdrom\fieldobj\player\gren2
340,glenn_dup,,field_main_chr,gren2.tim,work\cdrom\fieldobj\player\gren2
341,lynx,,field_main_chr,yamaneko.obj,work\cdrom\fieldobj\player\yamaneko
342,lynx,,field_main_chr,yamaneko.tim,work\cdrom\fieldobj\player\yamaneko
343,,,field_main_chr,dummy.dat,work\cdrom\dummy
344,,,field_main_chr,dummy.dat,work\cdrom\dummy
345,,,field_main_chr,dummy.dat,work\cdrom\dummy
346,,,field_main_chr,dummy.dat,work\cdrom\dummy
347,,,field_main_chr,dummy.dat,work\cdrom\dummy
348,,,field_main_chr,dummy.dat,work\cdrom\dummy
349,,,field_main_chr,dummy.dat,work\cdrom\dummy
350,,,field_main_chr,dummy.dat,work\cdrom\dummy
351,,,field_main_chr,dummy.dat,work\cdrom\dummy
352,,,field_main_chr,dummy.dat,work\cdrom\dummy
353,,,field_main_chr,dummy.dat,work\cdrom\dummy
354,,,field_main_chr,dummy.dat,work\cdrom\dummy
355,,,field_main_chr,dummy.dat,work\cdrom\dummy
356,,,field_main_chr,dummy.dat,work\cdrom\dummy
357,fort_viper_disguise,,field_main_chr,adk_sp.obj,work\cdrom\fieldobj\player\adk_sp
358,fort_viper_disguise,,field_main_chr,adk_sp.tim,work\cdrom\fieldobj\player\adk_sp
359,cat_white,,field_main_chr,neko.obj,work\cdrom\fieldobj\player\neko
360,cat_white,,field_main_chr,neko.tim,work\cdrom\fieldobj\player\neko
361,cat_black,,field_main_chr,neko.obj,work\cdrom\fieldobj\player\neko2
362,cat_black,,field_main_chr,neko.tim,work\cdrom\fieldobj\player\neko2
363,cat_calico,,field_main_chr,neko.obj,work\cdrom\fieldobj\player\neko3
364,cat_calico,,field_main_chr,neko.tim,work\cdrom\fieldobj\player\neko3
365,flying_boat,,field_main_chr,cl_bort.obj,work\cdrom\fieldobj\player\cl_bort
366,flying_boat,,field_main_chr,cl_bort.tim,work\cdrom\fieldobj\player\cl_bort
367,,,field_main_chr,,
368,Debug Room - 0,,field_room,dummy.dat,work\cdrom\dummy
369,Debug Room - 0,,field_room,dummy.dat,work\cdrom\dummy
370,Debug Room - 0,,field_room,dummy.dat,work\cdrom\dummy
371,Debug Room - Kato,,field_room,dummy.dat,work\cdrom\dummy
372,Debug Room - Kato,,field_room,dummy.dat,work\cdrom\dummy
373,Debug Room - Kato,,field_room,dummy.dat,work\cdrom\dummy
374,Debug Room - Yoshii,,field_room,dummy.dat,work\cdrom\dummy
375,Debug Room - Yoshii,,field_room,dummy.dat,work\cdrom\dummy
376,Debug Room - Yoshii,,field_room,dummy.dat,work\cdrom\dummy
377,Debug Room - Kigoshi,,field_room,dummy.dat,work\cdrom\dummy
378,Debug Room - Kigoshi,,field_room,dummy.dat,work\cdrom\dummy
379,Debug Room - Kigoshi,,field_room,dummy.dat,work\cdrom\dummy
380,Debug Room - Uchimichi,,field_room,dummy.dat,work\cdrom\dummy
381,Debug Room - Uchimichi,,field_room,dummy.dat,work\cdrom\dummy
382,Debug Room - Uchimichi,,field_room,dummy.dat,work\cdrom\dummy
383,Debug Room - Saito,,field_room,dummy.dat,work\cdrom\dummy
384,Debug Room - Saito,,field_room,dummy.dat,work\cdrom\dummy
385,Debug Room - Saito,,field_room,dummy.dat,work\cdrom\dummy
386,Debug Room - Miyakawa,,field_room,dummy.dat,work\cdrom\dummy
387,Debug Room - Miyakawa,,field_room,dummy.dat,work\cdrom\dummy
388,Debug Room - Miyakawa,,field_room,dummy.dat,work\cdrom\dummy
389,Debug Room - Chiba,,field_room,dummy.dat,work\cdrom\dummy
390,Debug Room - Chiba,,field_room,dummy.dat,work\cdrom\dummy
391,Debug Room - Chiba,,field_room,dummy.dat,work\cdrom\dummy
392,,,field_room,opening.bin,work\cdrom\map\mapbin
393,,,field_room,title.prd,work\cdrom
394,,,field_room,opening.ctd,work\cdrom\map\mapbin
395,,,field_room,ending.bin,work\cdrom\map\mapbin
396,,,field_room,ending.prd,work\cdrom\map\mapbin
397,,,field_room,ending.ctd,work\cdrom\map\mapbin
398,,,field_room,dem_01.bin,work\cdrom\map\mapbin
399,,,field_room,man_a01f.prd,work\cdrom\map\mapbin
400,,,field_room,dem_01.ctd,work\cdrom\map\mapbin
401,,,field_room,dem_02.bin,work\cdrom\map\mapbin
402,,,field_room,man_a05f.prd,work\cdrom\map\mapbin
403,,,field_room,dem_02.ctd,work\cdrom\map\mapbin
404,,,field_room,dem_03.bin,work\cdrom\map\mapbin
405,,,field_room,jac_b15i.prd,work\cdrom\map\mapbin
406,,,field_room,dem_03.ctd,work\cdrom\map\mapbin
407,,,field_room,dem_04.bin,work\cdrom\map\mapbin
